Response,Criteria
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Unknown,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Unknown,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
No,One
Yes,One
No,One
Unknown,One
No,One
Yes,One
Yes,One
Unknown,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
No,One
Yes,One
Unknown,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
No,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
Unknown,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
No,One
Yes,One
Yes,One
Yes,One
No,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
No,One
No,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
No,One
