id,zipcode,Influencer
1,98033,No
2,33950,Yes
3,07031,No
4,19115,Unknown
5,19148,No
6,33909,No
7,32976,No
8,11691,Yes
9,33012,Yes
10,78550,No
11,33064,No
12,33030,Yes
13,32256,No
14,33143,No
15,33010,Yes
16,33010,No
17,07720,No
18,33301,No
19,33436,No
20,33010,Yes
21,08401,No
22,33069,No
23,07726,No
24,07748,No
25,32217,No
26,33713,No
27,07666,No
28,33066,No
29,07631,No
30,19152,Unknown
31,34238,No
32,19104,No
33,33776,No
34,08701,No
35,33433,Yes
36,70003,No
37,32207,No
38,33484,No
39,33770,No
40,33147,No
41,34211,No
42,33139,No
43,33178,Yes
44,08251,No
45,33458,No
46,33410,No
47,33446,No
48,33322,No
49,11215,No
50,34698,No
51,33322,No
52,11214,No
53,33054,Yes
54,08701,No
55,34112,No
56,32967,No
57,98631,No
58,11226,No
59,08527,No
60,34120,No
61,11354,No
62,29907,No
63,32207,No
64,98520,Yes
65,11235,No
66,32259,Yes
67,11374,No
68,32940,No
69,33065,No
70,07628,No
71,34698,No
72,33761,No
73,34205,No
74,07730,No
75,70058,No
76,34689,No
77,98382,No
78,19973,No
79,33147,No
80,33009,No
81,07047,No
82,11218,No
83,11220,No
84,32216,No
85,33412,No
86,33412,No
87,19973,No
88,32209,Unknown
89,34243,No
90,19968,No
91,32207,No
92,32254,No
93,98013,No
94,33173,Yes
95,98006,No
96,33143,No
97,19951,No
98,33010,No
99,33415,No
100,07407,No
101,33071,No
102,98376,No
103,33903,No
104,34275,No
105,19112,Unknown
106,70056,No
107,32246,No
108,33169,No
109,33147,No
110,33179,No
111,98103,No
112,70127,No
113,32217,No
114,33903,No
115,98008,No
116,78550,No
117,32225,No
118,07728,No
119,11373,No
120,08404,No
121,08205,No
122,98008,No
123,23303,No
124,11105,No
125,11220,No
126,32208,No
127,33134,No
128,33175,No
129,33026,Yes
130,07740,No
131,33031,No
132,32216,No
133,98101,No
134,33179,No
135,32225,No
136,33430,Yes
137,11238,No
138,33714,No
139,33055,No
140,11226,No
141,34116,Unknown
142,33311,No
143,33712,Yes
144,11102,No
145,19136,No
146,33147,No
147,11385,No
148,70118,No
149,11236,No
150,11370,Yes
151,19136,No
