id,zipcode,Influencer
1010,39564,Yes
1011,32746,Yes
1012,33324,Yes
1013,77303,No
1014,36609,No
1015,77449,Yes
1016,77051,No
1017,32132,No
1018,70121,Yes
1019,32962,No
1020,70122,No
1021,33908,Yes
1022,33180,No
1023,33068,No
1024,77063,Yes
1025,33150,Yes
1026,32725,Yes
1027,32505,Yes
1028,77036,No
1029,33009,No
1030,33983,Yes
1031,78550,No
1032,70117,Yes
1033,77506,No
1034,34952,Yes
1035,34987,Yes
1036,36608,Yes
1037,32908,No
1038,70123,Yes
1039,33134,Yes
1040,32444,No
1041,36582,No
1042,33914,Yes
1043,33143,Yes
1044,33172,No
1045,78382,Yes
1046,32960,No
1047,77073,Yes
1048,32771,No
1049,77550,Yes
1050,36582,Unknown
1051,32765,Yes
1052,33414,No
1053,77517,Yes
1054,70062,Yes
1055,29016,No
1056,29501,Yes
1057,77378,Yes
1058,32968,No
1059,77006,Yes
1060,70062,Yes
1061,77563,Yes
1062,33155,No
1063,29203,Yes
1064,33852,Yes
1065,70131,Yes
1066,78413,No
1067,33417,Yes
1068,33069,No
1069,29202,No
1070,32174,No
1071,33145,Yes
1072,33308,No
1073,29210,No
1074,77076,No
1075,32765,Yes
1076,77713,Yes
1077,32609,Unknown
1078,79520,No
1079,70124,No
1080,77099,No
1081,33157,No
1082,77302,No
1083,77091,Unknown
1084,77584,Yes
1085,33012,Yes
1086,33125,No
1087,33010,Yes
1088,77074,Yes
1089,32714,Yes
1090,77049,No
1091,77055,Yes
1092,32601,Unknown
1093,29061,No
1094,32084,Yes
1095,77598,No
1096,39532,Yes
1097,33461,No
1098,33498,No
1099,77303,Yes
1100,77021,Yes
1101,77502,Yes
1102,77070,Yes
1103,32092,Yes
1104,36608,Yes
1105,32780,Yes
1106,32132,Yes
1107,32174,Yes
1108,33990,No
1109,70065,Yes
1110,33322,No
1111,33321,No
1112,33409,No
1113,33936,Yes
1114,32958,Yes
1115,77510,Yes
1116,33321,Yes
1117,77048,Yes
1118,33917,No
1119,77036,No
1120,33032,No
1121,33009,No
1122,33011,Yes
1123,34996,No
1124,33012,Yes
1125,33027,Yes
1126,33310,Yes
1127,33021,Yes
1128,33010,Yes
1129,33852,No
1130,33174,No
1131,33035,No
1132,33351,Yes
1133,32780,Yes
1134,77021,No
1135,32082,Yes
1136,32796,Yes
1137,33024,No
1138,77388,Yes
1139,77573,Yes
1140,33010,No
1141,33172,Yes
1142,77081,No
1143,33060,Yes
1144,77090,Yes
1145,29061,No
1146,77578,Yes
1147,77546,No
1148,32407,No
1149,33870,Yes
1150,32720,Yes
1151,29501,No
1152,36544,No
1153,77449,No
1154,29203,No
1155,32608,No
1156,36611,Unknown
1157,70433,Yes
1158,77586,No
1159,77033,No
1160,78412,No
1161,77067,Yes
1162,33982,No
1163,32506,Yes
1164,77082,No
1165,33972,Yes
1166,32931,Yes
1167,78412,No
1168,33401,Yes
1169,32438,Yes
1170,34983,Yes
1171,32533,Yes
1172,77407,No
1173,32724,Yes
1174,33168,No
1175,32084,Yes
1176,36604,Unknown
1177,77301,Yes
1178,32503,Yes
1179,33413,No
1180,77095,Yes
1181,33444,Yes
1182,33025,No
1183,33034,Yes
1184,32168,No
1185,34224,Yes
1186,77539,No
1187,77396,No
1188,33126,Yes
1189,33917,No
1190,78411,Yes
1191,70665,Yes
1192,77075,No
1193,77373,No
1194,77060,Yes
1195,77523,No
1196,33065,No
1197,33056,No
1198,78411,No
1199,77024,No
1200,78411,Yes
1201,36582,Yes
1202,77484,Yes
1203,29203,No
1204,77498,Yes
1205,32937,No
1206,32401,Yes
1207,00795,Yes
1208,00983,No
1209,00769,Yes
1210,00637,No
1211,00970,Yes
1212,00662,No
1213,00778,No
1214,00751,Yes
1215,00622,Yes
1216,00730,Yes
1217,00703,Yes
1218,00987,Yes
1219,00662,Yes
1220,00725,Yes
1221,00725,Yes
1222,00956,Yes
1223,00951,No
1224,00783,No
1225,00685,No
1226,00676,No
1227,00676,No
1228,00971,Yes
1229,00738,Yes
1230,00754,Yes
1231,00959,Yes
1232,32953,No
1233,77493,No
1234,33870,No
1235,32713,No
1236,33974,Yes
1237,36571,Unknown
1238,28411,No
1239,33035,No
1240,77339,Yes
1241,32940,Yes
1242,32937,Yes
1243,36695,No
1244,33327,No
1245,77345,No
1246,77380,Yes
1247,77450,No
1248,32577,No
1249,77060,No
1250,78414,No
1251,77429,No
1252,33009,Yes
1253,33064,Yes
1254,34986,No
1255,29229,No
1256,33033,Yes
1257,77546,No
1258,34953,No
1259,33472,No
1260,78408,Unknown
1261,77048,No
1262,34983,Yes
1263,77630,Yes
1264,70062,Yes
1265,77375,No
1266,33322,No
1267,77081,No
1268,70647,No
1269,77089,Yes
1270,34950,No
1271,70005,No
1272,39581,No
1273,32958,Yes
1274,29583,Yes
1275,39401,No
1276,32746,Yes
1277,32132,Yes
1278,33013,Yes
1279,34997,No
1280,29506,No
1281,32746,No
1282,77095,No
1283,34945,No
1284,77471,No
1285,33068,No
1286,78559,No
1287,32958,No
1288,70633,No
1289,33301,Yes
1290,77441,No
1291,32127,Yes
1292,77008,No
1293,39466,No
1294,77573,Yes
1295,34987,No
1296,32725,No
1297,78520,No
1298,77406,No
1299,77498,Yes
1300,70112,Yes
1301,77627,No
1302,32909,Yes
1303,33477,No
1304,29201,No
1305,77713,No
1306,29506,Yes
1307,33143,Unknown
1308,78408,No
1309,32405,No
1310,33012,No
1311,39401,Yes
1312,77346,No
1313,77511,No
1314,33312,Yes
1315,33176,No
1316,33461,No
1317,78520,Yes
1318,33189,Yes
1319,33126,Yes
1320,33131,No
1321,32707,Yes
1322,33176,Yes
1323,34997,Yes
1324,33173,Yes
1325,33176,No
1326,77450,Yes
1327,33033,No
