id,zipcode,Influencer
2016,75451,No
2017,43213,Yes
2018,53714,No
2019,76548,No
2020,07020,No
2021,21795,No
2022,33145,No
2023,22201,No
2024,34120,No
2025,11951,No
2026,90701,No
2027,31502,No
2028,60649,No
2029,32327,No
2030,85050,No
2031,43202,No
2032,66502,No
2033,60061,No
2034,56058,No
2035,73034,No
2036,57270,No
2037,33624,No
2038,94108,No
2039,85345,No
2040,23233,No
2041,92672,No
2042,07876,No
2043,76554,No
2044,92708,No
2045,91301,Unknown
2046,76689,No
2047,95123,No
2048,06896,No
2049,07106,No
2050,92110,No
2051,72956,No
2052,49401,No
2053,80215,No
2054,10013,No
2055,90025,Yes
2056,10001,Yes
2057,90015,No
2058,45232,No
2059,87401,Yes
2060,10037,No
2061,02723,Yes
2062,38116,No
2063,27525,No
2064,75938,No
2065,90001,No
2066,31635,No
2067,34669,Yes
2068,91764,Yes
2069,40906,No
2070,63108,No
2071,84604,No
2072,33549,No
2073,47025,No
2074,77354,No
2075,77433,No
2076,70363,No
2077,62095,No
2078,98258,No
2079,71446,No
2080,52142,No
2081,89121,No
2082,47431,No
2083,23456,No
2084,46404,No
2085,15846,No
2086,17821,No
2087,37042,No
2088,52404,No
2089,98501,No
2090,47145,No
2091,37804,No
2092,01077,No
2093,19335,No
2094,48091,No
2095,63131,No
2096,48227,No
2097,80011,No
2098,54143,No
2099,45449,No
2100,46323,No
2101,48198,No
2102,24333,No
2103,07481,No
2104,27360,No
2105,18504,No
2106,18634,No
2107,60152,No
2108,35124,No
2109,80915,No
2110,45245,No
2111,29745,No
2112,28227,No
2113,48035,No
2114,48122,No
2115,57572,No
2116,78070,No
2117,31093,No
2118,33614,No
2119,30909,No
2120,78641,No
2121,33604,No
2122,44118,No
2123,91325,No
2124,80011,No
2125,40216,No
2126,96740,No
2127,55430,No
2128,20603,No
2129,01376,No
2130,45727,No
2131,13203,No
2132,11377,No
2133,61820,Yes
2134,85635,No
2135,53227,No
2136,02644,No
2137,76481,No
2138,27511,No
2139,30214,No
2140,94086,No
2141,82520,No
2142,55347,No
2143,76104,Unknown
2144,06106,No
2145,17042,No
2146,80631,No
2147,32808,Yes
2148,75115,No
2149,43232,No
2150,24701,No
2151,93420,No
2152,02333,No
2153,97127,No
2154,84525,No
2155,41074,No
2156,29745,No
2157,76063,No
2158,30542,Yes
2159,43235,No
2160,36075,No
2161,19403,No
2162,28714,No
2163,44092,No
2164,34266,No
2165,46619,No
2166,78640,No
2167,02571,Unknown
2168,78653,No
2169,60443,No
2170,14476,No
2171,98660,No
2172,55412,No
2173,35748,No
2174,53216,No
2175,48197,No
2176,10004,No
2177,07059,No
2178,17046,No
2179,25414,No
2180,22911,No
2181,71109,Yes
2182,93541,No
2183,96732,No
2184,10468,No
2185,28273,No
2186,77484,No
2187,70801,No
2188,23324,No
2189,23325,No
2190,11224,No
2191,22902,No
2192,32669,No
2193,20735,No
2194,61704,No
2195,46229,No
2196,47130,No
2197,46228,No
2198,15037,No
2199,67217,No
2200,02744,No
2201,42211,No
2202,82009,No
2203,27260,No
2204,33903,No
2205,85747,No
2206,73106,No
2207,31513,No
2208,22206,No
2209,33127,No
2210,33594,No
2211,92307,No
2212,19061,No
2213,48026,No
2214,74006,No
2215,27858,No
2216,90210,No
2217,32825,Yes
2218,15223,No
2219,67230,No
2220,80247,No
2221,14094,No
2222,29649,No
2223,32801,No
2224,12534,Yes
2225,19720,No
2226,46202,No
2227,34668,No
2228,22963,No
2229,60647,No
2230,11368,No
2231,65810,Yes
2232,53545,No
2233,37877,Yes
2234,35040,No
2235,53215,No
2236,29829,No
2237,30144,No
2238,79904,No
2239,20109,No
2240,53573,No
2241,95128,No
2242,36784,No
2243,02148,No
2244,10580,No
2245,64111,No
2246,13126,No
2247,90019,No
2248,07016,No
2249,92071,No
2250,87109,No
2251,60608,No
2252,90011,No
2253,08232,No
2254,35405,No
2255,54703,No
2256,20816,No
2257,10001,Yes
2258,75088,No
2259,27947,No
2260,75224,Yes
2261,62827,No
2262,68046,No
2263,94114,Yes
2264,89117,No
2265,25702,No
2266,98908,No
2267,01057,No
2268,77026,No
2269,40741,No
2270,39767,No
2271,10003,Yes
2272,64133,No
2273,10958,No
2274,78155,No
2275,35473,No
2276,78526,No
2277,64123,No
2278,92704,No
2279,99224,No
2280,41102,No
2281,38125,No
2282,55119,No
2283,33615,No
2284,21060,Yes
2285,76018,No
2286,39095,No
2287,95619,No
2288,30102,No
2289,79414,No
2290,80916,No
2291,49601,No
2292,94127,No
2293,47424,No
2294,11561,No
2295,80121,No
2296,32835,Yes
2297,30809,No
2298,10116,No
2299,18103,No
2300,44144,No
2301,48152,No
2302,28732,No
2303,15214,No
2304,49091,No
2305,20737,No
2306,98001,No
2307,28139,No
2308,32837,No
2309,95340,No
2310,33626,Yes
2311,71055,No
2312,16502,Yes
2313,33055,No
2314,78572,No
2315,61108,No
2316,35405,No
2317,29611,No
2318,36078,No
2319,89122,No
2320,23803,No
2321,48204,No
2322,28376,No
2323,48095,No
2324,33637,No
2325,80214,No
2326,91606,No
2327,93308,No
2328,08857,No
2329,48213,No
2330,07036,No
2331,54245,No
2332,30434,No
2333,12212,No
2334,44125,No
2335,23454,No
2336,35130,No
2337,07108,No
2338,37918,No
2339,24503,No
2340,33167,Yes
2341,30291,No
2342,60181,No
2343,60478,Unknown
2344,13905,No
2345,08094,No
2346,12550,No
2347,32922,No
2348,03060,No
2349,94010,No
2350,60612,Yes
2351,94587,No
2352,37311,No
2353,54725,No
2354,72065,No
2355,73139,No
2356,43777,No
2357,20019,Yes
2358,72501,No
2359,60061,No
2360,27320,No
2361,23111,No
2362,45215,No
2363,92211,No
2364,63080,No
2365,78232,No
2366,72653,No
2367,74074,No
2368,10001,No
2369,08049,No
2370,01887,No
2371,85085,No
2372,60559,No
2373,84123,No
2374,18612,No
2375,01863,No
2376,10462,No
2377,37755,No
2378,01749,No
2379,27302,No
2380,92374,No
2381,07730,No
2382,85209,No
2383,44256,No
2384,90017,No
2385,66866,No
2386,30058,No
2387,30269,No
2388,19460,No
2389,61614,Yes
2390,11030,No
2391,61614,Yes
2392,08554,Yes
2393,67212,No
2394,33165,No
2395,55446,No
2396,30041,No
2397,04043,No
2398,80401,No
2399,42501,No
2400,60641,No
2401,90502,Yes
2402,62702,Yes
2403,07656,No
2404,37090,No
2405,20877,No
2406,46406,No
2407,33101,No
2408,68104,No
2409,02914,No
2410,36312,No
2411,30161,No
2412,30341,No
2413,01420,No
2414,77036,No
2415,02908,No
2416,38683,No
2417,31794,No
2418,66762,No
2419,19014,No
2420,13021,No
2421,75763,No
2422,45169,No
2423,46168,No
2424,14606,No
2425,76301,No
2426,49442,No
2427,61604,No
2428,75224,No
2429,37091,No
2430,01923,No
2431,32563,Unknown
2432,27317,No
2433,00910,No
2434,00773,No
2435,00716,No
2436,00783,No
2437,00956,No
2438,00956,No
2439,00725,No
2440,98277,No
2441,59901,No
2442,77002,No
2443,75001,No
2444,66111,No
2445,91214,No
2446,06320,No
2447,30331,No
2448,55318,No
2449,62231,No
2450,90001,Yes
2451,32809,No
2452,10001,Yes
2453,60426,No
2454,46406,No
2455,19147,No
2456,16507,No
2457,60050,No
2458,90034,Unknown
2459,62048,No
2460,54555,No
2461,62702,Yes
2462,70791,No
2463,90202,No
2464,92373,No
