id,zipcode,Influencer
1511,10011,No
1512,77539,No
1513,93021,No
1514,33914,No
1515,78538,No
1516,60016,No
1517,77060,Yes
1518,89130,No
1519,89108,No
1520,85747,No
1521,60453,No
1522,85741,No
1523,11218,No
1524,70805,No
1525,48111,No
1526,38116,No
1527,60629,No
1528,85757,No
1529,77090,No
1530,10002,Yes
1531,77346,No
1532,60637,No
1533,38116,No
1534,10001,No
1535,78521,Unknown
1536,60606,Yes
1537,11222,No
1538,10009,No
1539,60652,No
1540,89074,No
1541,10021,No
1542,78233,No
1543,79936,No
1544,60621,No
1545,77091,Yes
1546,48184,No
1547,33196,No
1548,89120,No
1549,11214,No
1550,60466,Unknown
1551,92504,No
1552,33405,No
1553,60160,Yes
1554,89074,No
1555,48185,No
1556,85658,No
1557,77506,No
1558,33801,No
1559,89044,No
1560,77051,No
1561,33993,Yes
1562,48204,No
1563,50525,No
1564,77084,No
1565,19139,No
1566,89135,No
1567,92584,No
1568,89178,No
1569,60628,No
1570,33839,No
1571,35020,No
1572,35208,No
1573,92563,Unknown
1574,60606,Yes
1575,89131,No
1576,70820,Yes
1577,10001,Yes
1578,79928,No
1579,11216,No
1580,10011,No
1581,60628,Yes
1582,77090,No
1583,19104,No
1584,33012,No
1585,78203,No
1586,89030,No
1587,48239,No
1588,60617,No
1589,08757,No
1590,11234,No
1591,60707,No
1592,35206,No
1593,10006,Yes
1594,60656,No
1595,60602,No
1596,71345,No
1597,78225,No
1598,78577,Yes
1599,60634,No
1600,70508,No
1601,11236,No
1602,78213,No
1603,70508,No
1604,77373,No
1605,60428,No
1606,10280,No
1607,60153,No
1608,92311,No
1609,60194,No
1610,77493,No
1611,60302,No
1612,33125,No
1613,10019,No
1614,33183,Yes
1615,11212,No
1616,10022,No
1617,10468,No
1618,60411,Yes
1619,39056,No
1620,60455,No
1621,60706,No
1622,11235,No
1623,10473,No
1624,10462,No
1625,89122,No
1626,78521,No
1627,78230,No
1628,33189,No
1629,60611,Yes
1630,19135,No
1631,92277,Yes
1632,77067,No
1633,60193,No
1634,78221,No
1635,35126,No
1636,38117,No
1637,92544,No
1638,77033,Unknown
1639,60076,No
1640,35022,No
1641,77084,No
1642,37013,Unknown
1643,10003,Yes
1644,37221,Yes
1645,60622,Yes
1646,70809,No
1647,78240,No
1648,89120,No
1649,39272,No
1650,60637,No
1651,77041,Yes
1652,78109,Yes
1653,85730,Yes
1654,10016,Yes
1655,60643,Yes
1656,38122,No
1657,89084,No
1658,60634,Yes
1659,10002,No
1660,77040,Unknown
1661,48111,No
1662,85705,No
1663,48120,Yes
1664,60193,No
1665,77427,Yes
1666,89131,No
1667,19104,Yes
1668,89166,No
1669,60623,No
1670,77536,No
1671,85713,No
1672,92879,No
1673,93003,No
1674,93726,No
1675,33823,No
1676,10009,No
1677,10013,Yes
1678,70570,No
1679,92277,No
1680,60425,Unknown
1681,19125,No
1682,10013,Yes
1683,10003,Yes
1684,10001,Yes
1685,10011,No
1686,78250,No
1687,10001,Yes
1688,78109,No
1689,70507,Yes
1690,08757,No
1691,60639,No
1692,89104,No
1693,48101,No
1694,33458,No
1695,78242,No
1696,77002,No
1697,93616,No
1698,78203,No
1699,38119,No
1700,35022,No
1701,60639,No
1702,78250,Unknown
1703,19120,Unknown
1704,89031,No
1705,78599,No
1706,39213,No
1707,89149,No
1708,10029,No
1709,78542,Yes
1710,77036,Yes
1711,10473,No
1712,33134,Yes
1713,77060,No
1714,92392,No
1715,33174,No
1716,89107,No
1717,93654,No
1718,77042,No
1719,60623,No
1720,33460,No
1721,77036,Yes
1722,77598,No
1723,33054,No
1724,10025,No
1725,78214,No
