id,zipcode,Influencer
2521,85353,No
2522,89108,No
2523,32141,Unknown
2524,85205,No
2525,33805,No
2526,34759,No
2527,34736,No
2528,34741,No
2529,92108,No
2530,34135,No
2531,32174,Yes
2532,34705,No
2533,85741,No
2534,93306,No
2535,92109,No
2536,90003,No
2537,91740,No
2538,33884,Yes
2539,33321,No
2540,91773,No
2541,89121,No
2542,86409,No
2543,86023,No
2544,91915,No
2545,91367,Yes
2546,89106,No
2547,90745,No
2548,32809,No
2549,33991,No
2550,32927,No
2551,33126,No
2552,93906,No
2553,90028,No
2554,90044,No
2555,90011,Yes
2556,90291,No
2557,90006,Yes
2558,90003,No
2559,33016,No
2560,91761,No
2561,91303,No
2562,33054,No
2563,90011,No
2564,90746,No
2565,85302,No
2566,85901,Unknown
2567,89115,No
2568,91320,No
2569,33823,No
2570,90066,No
2571,33904,No
2572,34772,No
2573,91355,No
2574,34744,No
2575,89108,No
2576,85730,No
2577,92126,No
2578,92821,No
2579,92203,No
2580,33012,No
2581,93015,Yes
2582,33013,Yes
2583,92697,No
2584,33319,No
2585,90220,Yes
2586,91335,Yes
2587,33844,No
2588,33330,No
2589,90247,No
2590,93041,No
2591,89103,No
2592,92026,No
2593,85712,Unknown
2594,90815,Unknown
2595,32839,No
2596,86442,No
2597,90744,No
2598,85730,No
2599,34743,No
2600,33165,No
2601,85749,No
2602,34488,No
2603,92866,No
2604,92028,Yes
2605,85296,No
2606,34240,No
2607,92530,No
2608,85203,No
2609,32805,No
2610,34476,No
2611,92677,No
2612,91301,No
2613,85202,No
2614,91977,No
2615,90504,No
2616,85048,No
2617,90631,Unknown
2618,32818,No
2619,90010,Yes
2620,90026,No
2621,32837,No
2622,85308,No
2623,85033,Yes
2624,32832,No
2625,93312,Unknown
2626,92104,No
2627,33314,No
2628,33009,Yes
2629,92301,No
2630,91331,No
2631,34736,No
2632,91803,No
2633,93901,Unknown
2634,92054,No
2635,90247,No
2636,32778,No
2637,33015,No
2638,33190,No
2639,32810,No
2640,33311,No
2641,34481,No
2642,34134,No
2643,90012,Yes
2644,90001,Yes
2645,33906,No
2646,85901,Yes
2647,33016,No
2648,33125,No
2649,34711,No
2650,90212,Yes
2651,32819,Yes
2652,91977,Yes
2653,33321,No
2654,32828,No
2655,92308,No
2656,85757,No
2657,33947,No
2658,33976,No
2659,93636,No
2660,33880,No
2661,34453,No
2662,86503,No
2663,85388,No
2664,34479,No
2665,33952,No
2666,32807,No
2667,32117,No
2668,90501,No
2669,91335,No
2670,85379,No
2671,31520,No
2672,34481,No
2673,33133,No
2674,32818,No
2675,95973,Yes
2676,93907,No
2677,33145,No
2678,85043,No
2679,92223,Unknown
2680,34741,No
2681,32726,No
2682,93510,No
2683,33324,No
2684,92234,No
2685,91732,No
2686,92806,No
2687,32837,No
2688,91352,No
2689,89139,No
2690,86004,No
2691,85345,No
2692,32905,No
2693,32806,No
2694,90068,No
2695,34471,No
2696,34471,No
2697,93637,No
2698,92027,No
2699,90042,Yes
2700,90015,Yes
2701,90089,Yes
2702,90015,No
2703,33897,No
2704,90011,Yes
2705,91423,No
2706,90012,Yes
2707,85203,No
2708,90011,Yes
2709,85019,No
2710,85210,No
2711,33436,No
2712,89156,No
2713,86426,No
2714,34241,No
2715,34488,No
2716,89113,No
2717,33952,No
2718,90001,Yes
2719,34113,No
2720,95457,Yes
2721,34711,No
2722,91351,No
2723,33157,No
2724,85201,No
2725,33928,No
2726,32903,No
2727,85249,No
2728,85308,No
2729,33168,No
2730,33014,No
2731,33150,No
2732,32159,No
2733,92692,No
2734,33179,No
2735,33904,No
2736,34786,No
2737,32818,No
2738,90029,No
2739,33404,No
2740,89135,No
2741,85226,No
2742,85353,No
2743,33193,No
2744,91402,No
2745,86321,Yes
2746,34481,No
2747,85233,No
2748,33165,No
2749,33015,Yes
2750,33032,No
2751,34743,No
2752,90008,Yes
2753,90032,No
2754,32811,No
2755,33032,No
2756,89108,Yes
2757,90011,Yes
2758,32810,No
2759,33844,No
2760,90505,No
2761,90001,Yes
2762,33426,No
2763,92841,No
2764,34772,No
2765,89119,No
2766,85741,No
2767,33860,No
2768,85302,No
2769,93308,No
2770,90650,Unknown
2771,90280,Yes
2772,33896,No
2773,34758,Unknown
2774,33916,Yes
2775,91732,No
2776,91790,No
2777,33188,Yes
2778,85710,No
2779,85044,No
2780,92123,No
2781,33162,No
2782,85032,No
2783,33020,No
2784,90716,No
2785,90047,No
2786,90042,Unknown
2787,92782,No
2788,92021,No
2789,93701,No
2790,92084,No
2791,92503,No
2792,92270,No
2793,93308,No
2794,91007,No
2795,90813,Yes
2796,93305,No
2797,92683,No
2798,90036,No
2799,92056,No
2800,90001,No
2801,95965,No
2802,90250,No
2803,90047,No
2804,93304,No
2805,90706,No
2806,92027,No
2807,90805,No
2808,90260,No
2809,91606,No
2810,91502,No
2811,91744,No
2812,90701,No
2813,90308,No
2814,91761,No
