Response,Criteria
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Unknown,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
Yes,One
