full_state_name,Earthquake,Flood,Wild_Fire,Hurricane,Radiological_Attack,latitude,longitude
Alabama,1,10,3,27,1,32.806671,-86.79113
Alaska,25,4,8,3,0,61.370716,-152.404419
Arizona,16,14,23,5,2,33.729759,-111.431221
Arkansas,2,10,1,4,1,34.969704,-92.373123
California,176,47,117,12,13,36.116203,-119.681564
Colorado,8,11,18,5,2,39.059811,-105.311104
Connecticut,3,6,0,24,2,41.597782,-72.755371
Delaware,0,2,0,1,0,39.318523,-75.507141
Florida,15,50,13,239,2,27.766279,-81.686783
Georgia,6,18,2,25,3,33.040619,-83.643074
Hawaii,7,7,4,14,1,21.094318,-157.498337
Idaho,7,5,7,4,0,44.240459,-114.478828
Illinois,9,25,1,6,1,40.349457,-88.986137
Indiana,5,7,0,4,0,39.849426,-86.258278
Iowa,1,9,1,5,0,42.011539,-93.210526
Kansas,4,5,0,2,1,38.5266,-96.726486
Kentucky,4,26,5,3,0,37.66814,-84.670067
Louisiana,2,24,4,52,1,31.169546,-91.867805
Maine,1,5,1,5,0,44.693947,-69.381927
Maryland,11,8,1,15,1,39.063946,-76.802101
Massachusetts,3,9,0,14,2,42.230171,-71.530106
Michigan,4,17,1,11,2,43.326618,-84.536095
Minnesota,1,5,3,4,0,45.694454,-93.900192
Mississippi,1,6,0,16,0,32.741646,-89.678696
Missouri,12,19,4,7,0,38.456085,-92.288368
Montana,3,3,5,0,0,46.921925,-110.454353
Nebraska,2,2,3,0,1,41.12537,-98.268082
Nevada,18,11,8,7,0,38.313515,-117.055374
New Hampshire,0,1,0,2,0,43.452492,-71.563896
New Jersey,7,21,2,28,0,40.298904,-74.521011
New Mexico,4,2,5,2,0,34.840515,-106.248482
New York,40,98,11,74,16,42.165726,-74.948051
North Carolina,7,27,3,59,1,35.630066,-79.806419
North Dakota,1,1,1,0,0,47.528912,-99.784012
Ohio,6,28,3,3,1,40.388783,-82.764915
Oklahoma,9,13,3,1,1,35.565342,-96.928917
Oregon,30,33,65,10,1,44.572021,-122.070938
Pennsylvania,7,35,3,27,3,40.590752,-77.209755
Puerto Rico,30,8,1,38,0,18.220833,-66.590149
Rhode Island,2,4,0,8,0,41.680893,-71.51178
South Carolina,2,15,0,26,0,33.856892,-80.945007
South Dakota,0,2,1,0,0,44.299782,-99.438828
Tennessee,7,18,5,7,1,35.747845,-86.692345
Texas,27,94,21,111,3,31.054487,-97.563461
U.S. Virgin Islands,0,0,0,1,0,18.335765,-64.896335
Utah,49,14,19,13,2,40.150032,-111.862434
Vermont,1,1,0,1,0,44.045876,-72.710686
Virginia,14,26,7,26,3,37.769337,-78.169968
Washington,79,41,39,13,1,47.400902,-121.490494
"Washington, D.C.",2,0,0,0,1,38.897438,-77.026817
West Virginia,1,19,4,4,0,38.491226,-80.954455
Wisconsin,2,11,2,2,1,44.268543,-89.616508
Wyoming,2,4,4,0,0,42.755966,-107.30249
