state,full_state_name,Earthquake,Wild_Fire,Radiological_Attack,sum_river,Hurricane,sum_coastal,longitude,latitude,Flood
DE,Delaware,0,0,0,0,0,1,-75.507141,39.318523,1
FL,Florida,0,1,9,13,1,1,-81.686783,27.766279,14
LA,Louisiana,0,0,2,7,1,1,-91.867805,31.169546,8
NJ,New Jersey,0,0,3,1,0,1,-74.521011,40.298904,2
NY,New York,1,0,12,40,0,1,-74.948051,42.165726,41
OR,Oregon,1,0,0,0,0,1,-122.070938,44.572021,1
PA,Pennsylvania,0,0,3,2,0,1,-77.209755,40.590752,3
TX,Texas,1,0,2,29,1,1,-97.563461,31.054487,30
VA,Virginia,0,0,4,0,0,1,-78.169968,37.769337,1
WA,Washington,1,0,0,0,0,1,-121.490494,47.400902,1
CA,California,1,1,10,9,0,0,-119.681564,36.116203,9
HI,Hawaii,1,0,0,0,0,0,-157.498337,21.094318,0
NV,Nevada,1,1,0,2,0,0,-117.055374,38.313515,2
TN,Tennessee,1,0,2,2,0,0,-86.692345,35.747845,2
AZ,Arizona,0,1,1,1,0,0,-111.431221,33.729759,1
NM,New Mexico,0,1,1,0,0,0,-106.248482,34.840515,0
AL,Alabama,0,0,2,2,1,0,-86.79113,32.806671,2
CO,Colorado,0,0,2,0,0,0,-105.311104,39.059811,0
GA,Georgia,0,0,4,0,0,0,-83.643074,33.040619,0
IL,Illinois,0,0,6,21,0,0,-88.986137,40.349457,21
IN,Indiana,0,0,1,0,0,0,-86.258278,39.849426,0
KS,Kansas,0,0,1,0,0,0,-96.726486,38.5266,0
KY,Kentucky,0,0,1,0,0,0,-84.670067,37.66814,0
MA,Massachusetts,0,0,2,0,0,0,-71.530106,42.230171,0
MD,Maryland,0,0,1,0,0,0,-76.802101,39.063946,0
MI,Michigan,0,0,1,4,0,0,-84.536095,43.326618,4
MN,Minnesota,0,0,1,0,0,0,-93.900192,45.694454,0
MO,Missouri,0,0,1,0,0,0,-92.288368,38.456085,0
NC,North Carolina,0,0,1,0,1,0,-79.806419,35.630066,0
OH,Ohio,0,0,1,0,0,0,-82.764915,40.388783,0
OK,Oklahoma,0,0,1,0,0,0,-96.928917,35.565342,0
WI,Wisconsin,0,0,2,0,0,0,-89.616508,44.268543,0
MS,Mississippi,0,0,0,0,1,0,-89.678696,32.741646,0
SC,South Carolina,0,0,0,0,1,0,-80.945007,33.856892,0
